iter	Passed	Remaining
0	143	143452
1	147	73744
2	151	50422
3	156	38844
4	160	31904
5	164	27327
6	170	24232
7	175	21780
8	179	19789
9	183	18210
10	189	17076
11	194	16019
12	199	15166
13	204	14410
14	208	13706
15	212	13083
16	215	12487
17	218	11900
18	220	11379
19	222	10910
20	230	10736
21	232	10320
22	234	9940
23	235	9580
24	237	9266
25	239	8968
26	240	8684
27	242	8423
28	243	8166
29	245	7932
30	246	7714
31	248	7508
32	249	7313
33	251	7131
34	252	6961
35	254	6801
36	255	6662
37	257	6517
38	259	6383
39	260	6250
40	261	6124
41	263	6010
42	264	5892
43	266	5781
44	267	5674
45	268	5571
46	269	5472
47	271	5381
48	272	5295
49	274	5208
50	275	5124
51	276	5042
52	277	4964
53	279	4889
54	280	4817
55	281	4749
56	282	4681
57	284	4619
58	285	4555
59	286	4494
60	288	4434
61	289	4378
62	290	4324
63	292	4270
64	293	4217
65	294	4166
66	295	4117
67	296	4062
68	297	4014
69	298	3970
70	300	3926
71	301	3888
72	302	3847
73	304	3805
74	305	3765
75	306	3728
76	307	3690
77	309	3653
78	310	3620
79	311	3585
80	313	3552
81	314	3519
82	315	3486
83	316	3455
84	317	3420
85	319	3390
86	319	3357
87	321	3329
88	322	3300
89	323	3274
90	325	3247
91	326	3220
92	327	3194
93	328	3169
94	330	3144
95	331	3120
96	332	3096
97	333	3073
98	335	3053
99	337	3033
100	338	3011
101	338	2983
102	340	2963
103	341	2944
104	343	2928
105	345	2910
106	346	2893
107	347	2873
108	349	2855
109	350	2838
110	352	2822
111	353	2805
112	355	2788
113	356	2769
114	357	2751
115	358	2733
116	359	2716
117	361	2699
118	362	2681
119	363	2665
120	364	2648
121	365	2633
122	366	2613
123	367	2598
124	369	2584
125	370	2571
126	371	2556
127	372	2539
128	374	2525
129	375	2511
130	376	2498
131	378	2488
132	379	2476
133	381	2466
134	383	2454
135	385	2447
136	386	2436
137	389	2432
138	392	2432
139	395	2429
140	399	2433
141	402	2429
142	404	2424
143	407	2421
144	409	2412
145	411	2404
146	413	2396
147	415	2393
148	419	2395
149	421	2386
150	423	2378
151	425	2371
152	427	2364
153	429	2356
154	430	2348
155	432	2342
156	434	2334
157	437	2330
158	438	2321
159	440	2314
160	442	2306
161	444	2299
162	445	2289
163	447	2282
164	449	2274
165	451	2268
166	453	2260
167	454	2252
168	456	2244
169	457	2235
170	459	2227
171	461	2221
172	463	2214
173	464	2205
174	466	2197
175	467	2189
176	469	2183
177	471	2176
178	473	2169
179	474	2163
180	475	2153
181	477	2146
182	479	2140
